runs,cost
1,0.8433902
2,0.82940835
3,0.7871689
4,0.8253738
5,0.822594
6,0.7992388
7,0.84102815
8,0.702762
9,0.8324529
10,0.7954657
11,0.8047266
12,0.82021165
13,0.8632954
14,0.7592836
15,0.87359923
16,0.58379644
17,0.9302794
18,0.7568562
19,0.18742554
20,0.48793852
21,0.93471915
22,1.0425346
23,0.878546
24,0.076305605
25,0.9718407
26,1.1746479
27,1.1526268
28,1.1089276
29,1.3379323
30,1.2756889
31,1.3150992
32,1.240686
33,1.2379687
34,1.3107003
35,1.270068
36,1.3778843
37,1.3837153
38,1.3681893
39,1.3924888
40,1.3298455
41,1.4009578
42,1.3866761
43,1.1469737
44,1.19348
45,1.409644
46,0.00000846222
47,1.3763852
48,1.3862604
49,1.3689075
50,1.4115561
51,1.3935921
52,1.2798539
53,1.3843126
54,1.3894563
55,1.3767784
56,1.4113715
57,1.2523007
58,1.4038115
59,1.3935386
60,6.017405e-8
61,1.3352158
62,1.3929849
63,2.9511533e-9
64,1.3981324
65,1.4123424
66,1.4111307
67,1.4097527
68,1.4134216
69,1.375885
70,1.3750232
71,1.3002646
72,1.3938947
73,1.3965197
74,1.4121926
75,1.2789445
76,1.4130762
77,1.3959666
78,1.4115086
79,1.3947945
80,1.3958348
81,1.4140207
82,1.4130117
83,1.3680451
84,1.4107492
85,1.3372269
86,1.4119222
87,1.4044597
88,1.4135122
89,1.413522
90,1.3601209
91,1.4118696
92,1.4119922
93,0.00001072898
94,1.4115471
95,1.4055865
96,1.4136184
97,1.4136709
98,1.3978949
99,1.4141095
100,1.4069254
101,0.000005558967
102,1.4047308
103,1.4139501
104,1.4124708
105,4.3140085e-7
106,1.4124062
107,1.309796
108,1.7428347e-8
109,0.0000035187256
110,1.4125547
111,1.4099944
112,1.3997757
113,1.3855135
114,1.3120621
115,1.4137828
116,1.4067569
117,1.4140161
118,1.3853704
119,1.4135283
120,1.4129652
121,1.4125974
122,1.4139503
123,1.4098313
124,1.4120516
125,1.4141781
126,1.4123236
